# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.25000  0.50000  1.00000  2.00000  3.00000  5.00000 
33.40000  0.98814  0.98787  0.98732  0.98623  0.98513  0.98293 
33.50000  0.98805  0.98778  0.98723  0.98613  0.98503  0.98284 
33.60000  0.98796  0.98768  0.98713  0.98604  0.98494  0.98274 
33.70000  0.98786  0.98759  0.98704  0.98594  0.98484  0.98264 
33.80000  0.98776  0.98749  0.98694  0.98584  0.98474  0.98254 
33.90000  0.98766  0.98739  0.98684  0.98574  0.98464  0.98244 
34.00000  0.98757  0.98729  0.98674  0.98564  0.98454  0.98233 
34.10000  0.98747  0.98719  0.98664  0.98554  0.98443  0.98223 
34.20000  0.98736  0.98709  0.98654  0.98543  0.98433  0.98212 
34.30000  0.98726  0.98698  0.98643  0.98533  0.98422  0.98201 
34.40000  0.98716  0.98688  0.98633  0.98522  0.98411  0.98190 
34.50000  0.98705  0.98677  0.98622  0.98511  0.98400  0.98179 
34.60000  0.98694  0.98666  0.98611  0.98500  0.98389  0.98167 
34.70000  0.98683  0.98655  0.98600  0.98489  0.98378  0.98155 
34.80000  0.98672  0.98645  0.98589  0.98478  0.98366  0.98144 
34.90000  0.98661  0.98633  0.98578  0.98466  0.98355  0.98132 
35.00000  0.98650  0.98622  0.98566  0.98455  0.98343  0.98120 
35.10000  0.98638  0.98610  0.98554  0.98443  0.98331  0.98107 
35.20000  0.98627  0.98599  0.98543  0.98431  0.98319  0.98095 
35.30000  0.98615  0.98587  0.98531  0.98418  0.98306  0.98082 
35.40000  0.98603  0.98575  0.98519  0.98406  0.98294  0.98069 
35.50000  0.98590  0.98562  0.98506  0.98394  0.98281  0.98056 
35.60000  0.98578  0.98550  0.98493  0.98381  0.98268  0.98042 
35.70000  0.98565  0.98537  0.98480  0.98367  0.98254  0.98028 
35.80000  0.98551  0.98523  0.98466  0.98353  0.98240  0.98013 
35.90000  0.98535  0.98507  0.98450  0.98336  0.98223  0.97996 
36.00000  0.98505  0.98477  0.98420  0.98306  0.98193  0.97965 
36.10000  0.98505  0.98477  0.98420  0.98306  0.98192  0.97964 
36.20000  0.98498  0.98470  0.98413  0.98298  0.98184  0.97956 
36.30000  0.98487  0.98458  0.98401  0.98286  0.98172  0.97943 
36.40000  0.98474  0.98445  0.98388  0.98273  0.98159  0.97929 
36.50000  0.98461  0.98432  0.98375  0.98260  0.98145  0.97914 
36.60000  0.98447  0.98418  0.98361  0.98246  0.98130  0.97900 
36.70000  0.98433  0.98404  0.98347  0.98231  0.98115  0.97884 
36.80000  0.98419  0.98390  0.98332  0.98216  0.98100  0.97869 
36.90000  0.98404  0.98375  0.98317  0.98201  0.98085  0.97853 
37.00000  0.98390  0.98361  0.98302  0.98186  0.98070  0.97837 
37.10000  0.98375  0.98345  0.98287  0.98170  0.98054  0.97820 
37.20000  0.98359  0.98330  0.98272  0.98154  0.98037  0.97803 
37.30000  0.98343  0.98314  0.98255  0.98138  0.98021  0.97786 
37.40000  0.98327  0.98298  0.98239  0.98121  0.98004  0.97769 
37.50000  0.98310  0.98281  0.98222  0.98104  0.97986  0.97750 
37.60000  0.98291  0.98262  0.98203  0.98085  0.97966  0.97730 
37.70000  0.98269  0.98239  0.98180  0.98061  0.97943  0.97706 
37.80000  0.98224  0.98194  0.98135  0.98016  0.97897  0.97660 
37.90000  0.98224  0.98194  0.98134  0.98015  0.97896  0.97658 
38.00000  0.98224  0.98194  0.98134  0.98014  0.97895  0.97656 
38.10000  0.98210  0.98180  0.98120  0.98000  0.97881  0.97641 
38.20000  0.98194  0.98164  0.98104  0.97984  0.97864  0.97624 
38.30000  0.98178  0.98148  0.98087  0.97967  0.97846  0.97605 
38.40000  0.98160  0.98130  0.98070  0.97949  0.97828  0.97586 
38.50000  0.98143  0.98112  0.98052  0.97931  0.97809  0.97567 
38.60000  0.98124  0.98094  0.98033  0.97912  0.97790  0.97547 
38.70000  0.98106  0.98075  0.98014  0.97893  0.97771  0.97527 
38.80000  0.98087  0.98057  0.97995  0.97873  0.97751  0.97506 
38.90000  0.98068  0.98037  0.97976  0.97853  0.97731  0.97486 
39.00000  0.98048  0.98018  0.97956  0.97833  0.97710  0.97464 
39.10000  0.98028  0.97998  0.97936  0.97813  0.97689  0.97443 
39.20000  0.98008  0.97977  0.97916  0.97792  0.97668  0.97421 
39.30000  0.97987  0.97956  0.97894  0.97770  0.97646  0.97398 
39.40000  0.97965  0.97934  0.97872  0.97747  0.97623  0.97374 
39.50000  0.97944  0.97913  0.97851  0.97726  0.97601  0.97352 
39.60000  0.97924  0.97893  0.97830  0.97705  0.97580  0.97330 
39.70000  0.97903  0.97871  0.97809  0.97683  0.97557  0.97307 
39.80000  0.97881  0.97849  0.97786  0.97660  0.97535  0.97283 
39.90000  0.97859  0.97827  0.97764  0.97637  0.97511  0.97259 
40.00000  0.97836  0.97804  0.97741  0.97614  0.97487  0.97234 
40.10000  0.97813  0.97781  0.97717  0.97590  0.97463  0.97209 
40.20000  0.97789  0.97757  0.97694  0.97566  0.97439  0.97184 
40.30000  0.97765  0.97733  0.97669  0.97541  0.97413  0.97158 
40.40000  0.97741  0.97709  0.97645  0.97516  0.97388  0.97132 
40.50000  0.97716  0.97684  0.97619  0.97491  0.97362  0.97105 
40.60000  0.97691  0.97659  0.97594  0.97465  0.97336  0.97078 
40.70000  0.97665  0.97633  0.97568  0.97439  0.97309  0.97050 
40.80000  0.97639  0.97607  0.97542  0.97412  0.97282  0.97022 
40.90000  0.97613  0.97580  0.97515  0.97385  0.97255  0.96994 
41.00000  0.97586  0.97553  0.97488  0.97357  0.97227  0.96965 
41.10000  0.97559  0.97526  0.97460  0.97329  0.97198  0.96936 
41.20000  0.97531  0.97498  0.97432  0.97301  0.97169  0.96906 
41.30000  0.97503  0.97470  0.97404  0.97272  0.97140  0.96876 
41.40000  0.97474  0.97441  0.97374  0.97242  0.97110  0.96845 
41.50000  0.97444  0.97411  0.97345  0.97212  0.97079  0.96814 
41.60000  0.97415  0.97381  0.97315  0.97181  0.97048  0.96782 
41.70000  0.97384  0.97351  0.97284  0.97150  0.97017  0.96750 
41.80000  0.97353  0.97320  0.97253  0.97119  0.96985  0.96717 
41.90000  0.97322  0.97288  0.97221  0.97087  0.96952  0.96684 
42.00000  0.97290  0.97256  0.97189  0.97054  0.96919  0.96649 
42.10000  0.97257  0.97223  0.97156  0.97020  0.96885  0.96615 
42.20000  0.97224  0.97190  0.97122  0.96986  0.96851  0.96579 
42.30000  0.97190  0.97156  0.97088  0.96952  0.96815  0.96543 
42.40000  0.97155  0.97121  0.97053  0.96916  0.96779  0.96506 
42.50000  0.97119  0.97085  0.97016  0.96879  0.96742  0.96469 
42.60000  0.97082  0.97048  0.96979  0.96841  0.96704  0.96429 
